"","interv_cvg_rate","interv_target","contact_rate_mean","interv_start","interv_efficacy","imm_hum_baseline","mn","md","qlo","qhi","n","Vaccination scenario","Vaccination lag","Vaccine efficacy","Final Cum. Incidence","outcome"
"202",600,"priority_age_frailty",1.8,0,0.3,1e-05,-0.0856097873952616,-0.0291371994342291,-0.620526315789474,0.4,188,"Random",0,0.3,0.7,"Hospitalized"
"203",600,"priority_age_frailty",1.8,0,0.6,1e-05,-0.08897673942427,0,-0.883333333333333,0.394615384615385,188,"Random",0,0.6,0.7,"Hospitalized"
"204",600,"priority_age_frailty",1.8,0,0.9,1e-05,0.0218378868741823,0.0902306648575305,-0.666666666666667,0.420343580470163,188,"Random",0,0.9,0.7,"Hospitalized"
"205",600,"priority_age_frailty",1.8,14,0.3,1e-05,-0.071475004617997,0,-0.5825,0.274764890282132,188,"Random",2,0.3,0.7,"Hospitalized"
"206",600,"priority_age_frailty",1.8,14,0.6,1e-05,-0.066595224613584,0,-0.643333333333333,0.312745098039216,188,"Random",2,0.6,0.7,"Hospitalized"
"207",600,"priority_age_frailty",1.8,14,0.9,1e-05,-0.0237108627617443,0.0300239592692423,-0.6225,0.394615384615385,188,"Random",2,0.9,0.7,"Hospitalized"
"208",600,"priority_age_frailty",1.8,28,0.3,1e-05,0.00280401550865035,0,0,0.00524193548387101,188,"Random",4,0.3,0.7,"Hospitalized"
"209",600,"priority_age_frailty",1.8,28,0.6,1e-05,0.00185154333554881,0,0,0.0163008989952406,188,"Random",4,0.6,0.7,"Hospitalized"
"210",600,"priority_age_frailty",1.8,28,0.9,1e-05,0.00175496814864226,0,-0.00985607008760951,0.014015444015444,188,"Random",4,0.9,0.7,"Hospitalized"
"211",1200,"priority_age_frailty",1,-28,0.3,1e-05,0.0306969787890606,0.0851449275362319,-0.921428571428571,0.849999999999997,152,"Random",-4,0.3,0.5,"Hospitalized"
"212",1200,"priority_age_frailty",1,-28,0.6,1e-05,0.326955522841952,0.276363636363636,-0.195769230769231,1,152,"Random",-4,0.6,0.5,"Hospitalized"
"213",1200,"priority_age_frailty",1,-28,0.9,1e-05,0.556903608934403,0.577380952380952,0,1,152,"Random",-4,0.9,0.5,"Hospitalized"
"214",1200,"priority_age_frailty",1,-14,0.3,1e-05,0.109750579779263,0.127441244620986,-0.375510204081633,1,176,"Random",-2,0.3,0.5,"Hospitalized"
"215",1200,"priority_age_frailty",1,-14,0.6,1e-05,0.228695370074096,0.280252583237658,-0.446428571428571,1,176,"Random",-2,0.6,0.5,"Hospitalized"
"216",1200,"priority_age_frailty",1,-14,0.9,1e-05,0.527420043899953,0.571428571428571,-0.119047619047619,1,176,"Random",-2,0.9,0.5,"Hospitalized"
"217",1200,"priority_age_frailty",1,0,0.3,1e-05,-0.0266107161873592,0,-0.476136363636364,0.447222222222221,160,"Random",0,0.3,0.5,"Hospitalized"
"218",1200,"priority_age_frailty",1,0,0.6,1e-05,0.108970289567119,0.123475609756098,-0.529032258064516,0.788888888888885,160,"Random",0,0.6,0.5,"Hospitalized"
"219",1200,"priority_age_frailty",1,0,0.9,1e-05,0.308900939513988,0.351601601601602,-0.287218045112782,0.777969348659004,160,"Random",0,0.9,0.5,"Hospitalized"
"220",1200,"priority_age_frailty",1,14,0.3,1e-05,-0.0847948441165933,0,-0.790322580645161,0.5,160,"Random",2,0.3,0.5,"Hospitalized"
"221",1200,"priority_age_frailty",1,14,0.6,1e-05,0.00220899103077168,0.0976190476190476,-0.684375,0.447222222222221,160,"Random",2,0.6,0.5,"Hospitalized"
"222",1200,"priority_age_frailty",1,14,0.9,1e-05,0.113043176784926,0.178628389154705,-0.454032258064516,0.545454545454545,160,"Random",2,0.9,0.5,"Hospitalized"
"223",1200,"priority_age_frailty",1,28,0.3,1e-05,-0.00483848765142608,0,-0.217459239130435,0.172488755622189,160,"Random",4,0.3,0.5,"Hospitalized"
"224",1200,"priority_age_frailty",1,28,0.6,1e-05,0.0049852661001908,0,-0.209536874451273,0.222385620915033,160,"Random",4,0.6,0.5,"Hospitalized"
"225",1200,"priority_age_frailty",1,28,0.9,1e-05,0.017189952167996,0,-0.172540509259259,0.289661319073083,160,"Random",4,0.9,0.5,"Hospitalized"
"226",1200,"priority_age_frailty",1.8,-28,0.3,1e-05,-0.0604052776021695,0,-0.833333333333333,0.459549071618037,184,"Random",-4,0.3,0.7,"Hospitalized"
"227",1200,"priority_age_frailty",1.8,-28,0.6,1e-05,0.157162278042778,0.188545150501672,-0.39,0.608791208791209,184,"Random",-4,0.6,0.7,"Hospitalized"
"228",1200,"priority_age_frailty",1.8,-28,0.9,1e-05,0.457484701005559,0.467278287461774,0,1,184,"Random",-4,0.9,0.7,"Hospitalized"
"229",1200,"priority_age_frailty",1.8,-14,0.3,1e-05,-0.0877995808596492,-0.0218535469107551,-0.848809523809524,0.451010101010101,188,"Random",-2,0.3,0.7,"Hospitalized"
