age,frailty
63.4506009615385,0.50934359375
63.5506009615385,0.51077359375
63.6506009615385,0.51220359375
63.7506009615385,0.51363359375
63.8506009615385,0.51506359375
63.9506009615385,0.51649359375
64.0506009615385,0.51792359375
64.1506009615385,0.51935359375
64.2506009615385,0.52078359375
64.3506009615385,0.52221359375
64.4506009615385,0.52364359375
64.5506009615385,0.52507359375
64.6506009615385,0.52650359375
64.7506009615385,0.52793359375
64.8506009615385,0.52936359375
64.9506009615385,0.53079359375
65.0506009615385,0.53222359375
65.1506009615385,0.53365359375
65.2506009615385,0.53508359375
65.3506009615385,0.53651359375
65.4506009615385,0.53794359375
65.5506009615385,0.53937359375
65.6506009615385,0.54080359375
65.7506009615385,0.54223359375
65.8506009615385,0.54366359375
65.9506009615385,0.54509359375
66.0506009615385,0.54652359375
66.1506009615385,0.54795359375
66.2506009615385,0.54938359375
66.3506009615385,0.55081359375
66.4506009615385,0.55224359375
66.5506009615385,0.55367359375
66.6506009615385,0.55510359375
66.7506009615385,0.55653359375
66.8506009615385,0.55796359375
66.9506009615385,0.55939359375
67.0506009615385,0.56082359375
67.1506009615385,0.56225359375
67.2506009615385,0.56368359375
67.3506009615385,0.56511359375
67.4506009615385,0.56654359375
67.5506009615385,0.56797359375
67.6506009615385,0.56940359375
67.7506009615385,0.57083359375
67.8506009615385,0.57226359375
67.9506009615385,0.57369359375
68.0506009615385,0.57512359375
68.1506009615385,0.57655359375
68.2506009615385,0.57798359375
68.3506009615385,0.57941359375
68.4506009615385,0.58084359375
68.5506009615385,0.58227359375
68.6506009615385,0.58370359375
68.7506009615385,0.58513359375
68.8506009615385,0.58656359375
68.9506009615385,0.58799359375
69.0506009615385,0.58942359375
69.1506009615385,0.59085359375
69.2506009615385,0.59228359375
69.3506009615385,0.59371359375
69.4506009615385,0.59514359375
69.5506009615385,0.59657359375
69.6506009615385,0.59800359375
69.7506009615385,0.59943359375
69.8506009615385,0.60086359375
69.9506009615385,0.60229359375
70.0506009615385,0.60372359375
70.1506009615385,0.60515359375
70.2506009615385,0.60658359375
70.3506009615385,0.60801359375
70.4506009615385,0.60944359375
70.5506009615385,0.61087359375
70.6506009615385,0.61230359375
70.7506009615385,0.61373359375
70.8506009615385,0.61516359375
70.9506009615385,0.61659359375
71.0506009615385,0.61802359375
71.1506009615385,0.61945359375
71.2506009615385,0.62088359375
71.3506009615385,0.62231359375
71.4506009615385,0.62374359375
71.5506009615385,0.62517359375
71.6506009615385,0.62660359375
71.7506009615385,0.62803359375
71.8506009615385,0.62946359375
71.9506009615385,0.63089359375
72.0506009615385,0.63232359375
72.1506009615385,0.63375359375
72.2506009615385,0.63518359375
72.3506009615385,0.63661359375
72.4506009615385,0.63804359375
72.5506009615385,0.63947359375
72.6506009615385,0.64090359375
72.7506009615385,0.64233359375
72.8506009615385,0.64376359375
72.9506009615385,0.64519359375
73.0506009615385,0.64662359375
73.1506009615385,0.64805359375
73.2506009615385,0.64948359375
73.3506009615385,0.65091359375
73.4506009615385,0.65234359375
73.5506009615385,0.65377359375
73.6506009615385,0.65520359375
73.7506009615385,0.65663359375
73.8506009615385,0.65806359375
73.9506009615385,0.65949359375
74.0506009615385,0.66092359375
74.1506009615385,0.66235359375
74.2506009615385,0.66378359375
74.3506009615385,0.66521359375
74.4506009615385,0.66664359375
74.5506009615385,0.66807359375
74.6506009615385,0.66950359375
74.7506009615385,0.67093359375
74.8506009615385,0.67236359375
74.9506009615385,0.67379359375
75.0506009615385,0.67522359375
75.1506009615385,0.67665359375
75.2506009615385,0.67808359375
75.3506009615385,0.67951359375
75.4506009615385,0.68094359375
75.5506009615385,0.68237359375
75.6506009615385,0.68380359375
75.7506009615385,0.68523359375
75.8506009615385,0.68666359375
75.9506009615385,0.68809359375
76.0506009615385,0.68952359375
76.1506009615385,0.69095359375
76.2506009615385,0.69238359375
76.3506009615385,0.69381359375
76.4506009615385,0.69524359375
76.5506009615385,0.69667359375
76.6506009615385,0.69810359375
76.7506009615385,0.69953359375
76.8506009615385,0.70096359375
76.9506009615385,0.70239359375
77.0506009615385,0.70382359375
77.1506009615385,0.70525359375
